[07/07/21 20:21:52:556 GMT]  WARN business.ESIndexAPI: Unable to parse shards from config
[07/07/21 20:21:52:556 GMT]  WARN business.ESIndexAPI: null
[07/07/21 20:21:52:556 GMT]  WARN business.ESIndexAPI: java.base/java.lang.Integer.parseInt(Integer.java:614)
[07/07/21 20:21:52:608 GMT]  INFO business.ESIndexAPI: createIndex : Index created: cluster_d79383318a.working_20210707202152 with shards: 1
[07/07/21 20:21:52:608 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Index created: cluster_d79383318a.working_20210707202152 with shards: 1
[07/07/21 20:21:52:619 GMT]  INFO business.ESIndexAPI: createIndex : Trying to create index: cluster_d79383318a.live_20210707202152 with shards: 0
[07/07/21 20:21:52:619 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Trying to create index: cluster_d79383318a.live_20210707202152 with shards: 0
[07/07/21 20:21:52:619 GMT]  WARN business.ESIndexAPI: Unable to parse shards from config
[07/07/21 20:21:52:619 GMT]  WARN business.ESIndexAPI: null
[07/07/21 20:21:52:619 GMT]  WARN business.ESIndexAPI: java.base/java.lang.Integer.parseInt(Integer.java:614)
[07/07/21 20:21:52:683 GMT]  INFO business.ESIndexAPI: createIndex : Index created: cluster_d79383318a.live_20210707202152 with shards: 1
[07/07/21 20:21:52:683 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Index created: cluster_d79383318a.live_20210707202152 with shards: 1
[07/07/21 20:21:53:696 GMT]  INFO business.ESIndexAPI: createIndex : Trying to create index: cluster_d79383318a.working_20210707202153 with shards: 0
[07/07/21 20:21:53:696 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Trying to create index: cluster_d79383318a.working_20210707202153 with shards: 0
[07/07/21 20:21:53:696 GMT]  WARN business.ESIndexAPI: Unable to parse shards from config
[07/07/21 20:21:53:696 GMT]  WARN business.ESIndexAPI: null
[07/07/21 20:21:53:696 GMT]  WARN business.ESIndexAPI: java.base/java.lang.Integer.parseInt(Integer.java:614)
[07/07/21 20:21:53:757 GMT]  INFO business.ESIndexAPI: createIndex : Index created: cluster_d79383318a.working_20210707202153 with shards: 1
[07/07/21 20:21:53:757 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Index created: cluster_d79383318a.working_20210707202153 with shards: 1
[07/07/21 20:21:53:768 GMT]  INFO business.ESIndexAPI: createIndex : Trying to create index: cluster_d79383318a.live_20210707202153 with shards: 0
[07/07/21 20:21:53:768 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Trying to create index: cluster_d79383318a.live_20210707202153 with shards: 0
[07/07/21 20:21:53:768 GMT]  WARN business.ESIndexAPI: Unable to parse shards from config
[07/07/21 20:21:53:768 GMT]  WARN business.ESIndexAPI: null
[07/07/21 20:21:53:768 GMT]  WARN business.ESIndexAPI: java.base/java.lang.Integer.parseInt(Integer.java:614)
[07/07/21 20:21:53:833 GMT]  INFO business.ESIndexAPI: createIndex : Index created: cluster_d79383318a.live_20210707202153 with shards: 1
[07/07/21 20:21:53:833 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Index created: cluster_d79383318a.live_20210707202153 with shards: 1
[07/07/21 20:21:54:854 GMT]  INFO business.ESIndexAPI: createIndex : Trying to create index: cluster_d79383318a.working_20210707202154 with shards: 0
[07/07/21 20:21:54:854 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Trying to create index: cluster_d79383318a.working_20210707202154 with shards: 0
[07/07/21 20:21:54:854 GMT]  WARN business.ESIndexAPI: Unable to parse shards from config
[07/07/21 20:21:54:854 GMT]  WARN business.ESIndexAPI: null
[07/07/21 20:21:54:854 GMT]  WARN business.ESIndexAPI: java.base/java.lang.Integer.parseInt(Integer.java:614)
[07/07/21 20:21:54:923 GMT]  INFO business.ESIndexAPI: createIndex : Index created: cluster_d79383318a.working_20210707202154 with shards: 1
[07/07/21 20:21:54:923 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Index created: cluster_d79383318a.working_20210707202154 with shards: 1
[07/07/21 20:21:54:934 GMT]  INFO business.ESIndexAPI: createIndex : Trying to create index: cluster_d79383318a.live_20210707202154 with shards: 0
[07/07/21 20:21:54:934 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Trying to create index: cluster_d79383318a.live_20210707202154 with shards: 0
[07/07/21 20:21:54:934 GMT]  WARN business.ESIndexAPI: Unable to parse shards from config
[07/07/21 20:21:54:934 GMT]  WARN business.ESIndexAPI: null
[07/07/21 20:21:54:934 GMT]  WARN business.ESIndexAPI: java.base/java.lang.Integer.parseInt(Integer.java:614)
[07/07/21 20:21:54:984 GMT]  INFO business.ESIndexAPI: createIndex : Index created: cluster_d79383318a.live_20210707202154 with shards: 1
[07/07/21 20:21:54:984 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Index created: cluster_d79383318a.live_20210707202154 with shards: 1
[07/07/21 20:21:55:995 GMT]  INFO business.ESIndexAPI: createIndex : Trying to create index: cluster_d79383318a.working_20210707202155 with shards: 0
[07/07/21 20:21:55:995 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Trying to create index: cluster_d79383318a.working_20210707202155 with shards: 0
[07/07/21 20:21:55:995 GMT]  WARN business.ESIndexAPI: Unable to parse shards from config
[07/07/21 20:21:55:995 GMT]  WARN business.ESIndexAPI: null
[07/07/21 20:21:55:995 GMT]  WARN business.ESIndexAPI: java.base/java.lang.Integer.parseInt(Integer.java:614)
[07/07/21 20:21:56:055 GMT]  INFO business.ESIndexAPI: createIndex : Index created: cluster_d79383318a.working_20210707202155 with shards: 1
[07/07/21 20:21:56:055 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Index created: cluster_d79383318a.working_20210707202155 with shards: 1
[07/07/21 20:21:56:066 GMT]  INFO business.ESIndexAPI: createIndex : Trying to create index: cluster_d79383318a.live_20210707202155 with shards: 0
[07/07/21 20:21:56:066 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Trying to create index: cluster_d79383318a.live_20210707202155 with shards: 0
[07/07/21 20:21:56:066 GMT]  WARN business.ESIndexAPI: Unable to parse shards from config
[07/07/21 20:21:56:066 GMT]  WARN business.ESIndexAPI: null
[07/07/21 20:21:56:066 GMT]  WARN business.ESIndexAPI: java.base/java.lang.Integer.parseInt(Integer.java:614)
[07/07/21 20:21:56:120 GMT]  INFO business.ESIndexAPI: createIndex : Index created: cluster_d79383318a.live_20210707202155 with shards: 1
